"Dist Code","Year","State Code","State Name","Dist Name","RICE HARVEST PRICE (Rs per Quintal)","PADDY HARVEST PRICE (Rs per Quintal)","WHEAT HARVEST PRICE (Rs per Quintal)","SORGHUM HARVEST PRICE (Rs per Quintal)","PEARL MILLET HARVEST PRICE (Rs per Quintal)","MAIZE HARVEST PRICE (Rs per Quintal)","FINGER MILLET HARVEST PRICE (Rs per Quintal)","BARLEY HARVEST PRICE (Rs per Quintal)","CHICKPEA HARVEST PRICE (Rs per Quintal)","PIGEONPEA HARVEST PRICE (Rs per Quintal)","GROUNDNUT HARVEST PRICE (Rs per Quintal)","SEASMUM HARVEST PRICE (Rs per Quintal)","RAPE AND MUSTARD HARVEST PRICE (Rs per Quintal)","CASTOR HARVEST PRICE (Rs per Quintal)","LINSEED HARVEST PRICE (Rs per Quintal)","SUGARCANE GUR HARVEST PRICE (Rs per Quintal)","COTTON KAPAS HARVEST PRICE (Rs per Quintal)"
"83","1966","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","68.4","45.0","-1.0","50.0","50.0","-1.0","50.0","-1.0","-1.0","-1.0","105.6","194.6","-1.0","-1.0","-1.0","-1.0","-1.0"
"83","1967","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","71.7","45.0","-1.0","50.0","-1.0","-1.0","50.0","-1.0","-1.0","-1.0","114.9","200.7","-1.0","-1.0","-1.0","-1.0","-1.0"
"83","1968","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","73.7","45.0","-1.0","70.0","73.0","-1.0","70.0","-1.0","-1.0","-1.0","89.1","178.8","-1.0","-1.0","-1.0","-1.0","-1.0"
"83","1969","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","87.5","62.0","-1.0","-1.0","-1.0","-1.0","65.0","-1.0","-1.0","-1.0","165.0","240.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"83","1970","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","59.1","-1.0","64.5","56.5","-1.0","58.4","-1.0","-1.0","-1.0","139.6","194.0","-1.0","-1.0","-1.0","90.0","-1.0"
"83","1971","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","60.8","-1.0","-1.0","61.4","-1.0","60.3","-1.0","-1.0","-1.0","118.8","201.2","-1.0","-1.0","-1.0","130.3","-1.0"
"83","1972","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","75.3","-1.0","-1.0","65.4","-1.0","70.9","-1.0","-1.0","-1.0","140.9","272.9","-1.0","-1.0","-1.0","150.0","-1.0"
"83","1973","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","93.5","-1.0","-1.0","104.5","-1.0","98.2","-1.0","-1.0","-1.0","212.1","365.6","-1.0","-1.0","-1.0","167.0","-1.0"
"83","1974","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","141.4","-1.0","-1.0","154.3","-1.0","145.5","-1.0","-1.0","-1.0","312.9","376.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"83","1975","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","93.4","-1.0","-1.0","88.1","-1.0","70.6","-1.0","-1.0","-1.0","243.8","310.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"83","1976","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","83.7","-1.0","-1.0","90.0","-1.0","80.0","-1.0","-1.0","-1.0","278.5","337.7","-1.0","-1.0","-1.0","-1.0","-1.0"
"83","1977","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","83.6","-1.0","-1.0","96.6","-1.0","85.3","-1.0","-1.0","-1.0","289.1","368.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"83","1978","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","149.3","-1.0","-1.0","-1.0","76.6","-1.0","82.4","-1.0","-1.0","-1.0","-1.0","306.7","-1.0","-1.0","-1.0","-1.0","-1.0"
"83","1979","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","173.2","-1.0","-1.0","-1.0","91.1","-1.0","103.3","-1.0","251.1","-1.0","-1.0","386.8","-1.0","-1.0","-1.0","-1.0","-1.0"
"83","1980","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","210.8","132.5","-1.0","-1.0","105.6","-1.0","137.6","-1.0","362.5","-1.0","-1.0","484.8","-1.0","-1.0","-1.0","303.8","-1.0"
"83","1981","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","213.8","-1.0","-1.0","-1.0","125.1","-1.0","139.3","-1.0","-1.0","-1.0","-1.0","561.5","-1.0","-1.0","-1.0","178.7","-1.0"
"83","1982","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","218.3","-1.0","-1.0","-1.0","100.6","-1.0","144.0","-1.0","-1.0","-1.0","-1.0","564.7","-1.0","-1.0","-1.0","187.2","-1.0"
"83","1983","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","238.4","-1.0","-1.0","-1.0","125.5","-1.0","170.5","-1.0","-1.0","350.0","-1.0","606.9","-1.0","-1.0","-1.0","310.2","-1.0"
"83","1984","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","252.9","-1.0","-1.0","-1.0","130.0","-1.0","163.2","-1.0","-1.0","300.0","391.7","566.7","-1.0","-1.0","-1.0","290.5","-1.0"
"83","1985","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","255.6","-1.0","-1.0","-1.0","150.0","-1.0","162.0","-1.0","478.6","300.0","405.8","578.8","-1.0","-1.0","-1.0","292.2","-1.0"
"83","1986","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","293.9","-1.0","-1.0","156.4","158.8","-1.0","176.8","-1.0","-1.0","336.5","500.0","705.2","-1.0","-1.0","-1.0","312.7","-1.0"
"83","1987","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","194.5","-1.0","-1.0","-1.0","-1.0","190.1","-1.0","-1.0","-1.0","-1.0","729.2","-1.0","-1.0","-1.0","-1.0","-1.0"
"83","1988","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","223.1","-1.0","-1.0","164.3","-1.0","199.4","-1.0","-1.0","-1.0","-1.0","673.2","-1.0","-1.0","-1.0","294.5","-1.0"
"83","1989","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","207.3","-1.0","-1.0","155.8","-1.0","183.0","-1.0","-1.0","-1.0","-1.0","861.9","-1.0","-1.0","-1.0","460.4","-1.0"
"83","1990","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","217.0","-1.0","-1.0","172.0","-1.0","186.0","-1.0","-1.0","-1.0","-1.0","860.0","-1.0","-1.0","-1.0","450.0","-1.0"
"83","1991","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","251.0","-1.0","-1.0","-1.0","-1.0","233.0","-1.0","-1.0","-1.0","-1.0","1104.0","-1.0","-1.0","-1.0","353.0","-1.0"
"83","1992","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","283.0","-1.0","-1.0","314.0","-1.0","296.0","-1.0","-1.0","-1.0","-1.0","1043.0","-1.0","-1.0","-1.0","372.0","-1.0"
"83","1993","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","333.0","-1.0","-1.0","-1.0","-1.0","293.0","-1.0","-1.0","-1.0","-1.0","1307.0","-1.0","-1.0","-1.0","813.0","-1.0"
"83","1994","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","350.0","-1.0","-1.0","385.0","-1.0","292.0","-1.0","-1.0","-1.0","-1.0","1205.0","-1.0","-1.0","-1.0","607.0","-1.0"
"83","1995","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","352.0","-1.0","-1.0","446.0","-1.0","412.0","-1.0","-1.0","-1.0","-1.0","1209.0","-1.0","-1.0","-1.0","550.0","-1.0"
"83","1996","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","343.0","-1.0","479.0","-1.0","-1.0","442.0","-1.0","-1.0","-1.0","-1.0","1453.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"83","1997","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","359.0","-1.0","447.0","359.0","368.0","429.0","-1.0","1589.0","1264.0","1027.0","1206.0","-1.0","1049.0","-1.0","947.0","1772.0"
"83","1998","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","451.0","-1.0","-1.0","-1.0","-1.0","470.0","-1.0","-1.0","-1.0","-1.0","1976.0","-1.0","-1.0","-1.0","939.0","-1.0"
"83","1999","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","491.0","-1.0","-1.0","581.0","-1.0","540.0","-1.0","-1.0","-1.0","-1.0","1337.0","-1.0","-1.0","-1.0","856.0","-1.0"
"83","2000","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","498.0","-1.0","-1.0","470.0","-1.0","554.0","-1.0","-1.0","-1.0","-1.0","1395.0","-1.0","-1.0","-1.0","930.0","-1.0"
"83","2001","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","500.0","-1.0","-1.0","493.0","-1.0","512.0","-1.0","-1.0","-1.0","-1.0","1526.0","-1.0","-1.0","-1.0","977.0","-1.0"
"83","2002","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","506.0","-1.0","-1.0","632.0","-1.0","566.0","-1.0","-1.0","-1.0","-1.0","1976.0","-1.0","-1.0","-1.0","860.0","-1.0"
"83","2003","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","502.0","-1.0","-1.0","531.0","-1.0","676.0","-1.0","-1.0","-1.0","1744.0","2005.0","-1.0","-1.0","-1.0","1015.0","-1.0"
"83","2004","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","473.0","-1.0","-1.0","611.0","-1.0","655.0","-1.0","-1.0","-1.0","1558.0","1918.0","-1.0","-1.0","-1.0","1361.0","-1.0"
"83","2005","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","-1.0","474.0","-1.0","572.0","639.0","494.0","664.0","-1.0","2752.0","2036.0","1913.0","2144.0","-1.0","1400.0","-1.0","1335.0","1574.0"
